,Speaker,transcript_text,clean_transcript_text,date
0,CHAIRMAN GREENSPAN,CHAIRMAN GREENSPAN On behalf of all of us I want to welcome Jack Guynn,On behalf of all of us I want to welcome Jack Guynn,19951219
1,MR GUYNN,MR GUYNN Thank you very much,Thank you very much,19951219
2,CHAIRMAN GREENSPAN,CHAIRMAN GREENSPAN Jack is a veteran of the Fed who needs no introductionTo start off would somebody like to move the minutes for the November 15 meeting?,Jack is a veteran of the Fed who needs no introductionTo start off would somebody like to move the minutes for the November 15 meeting?,19951219
3,VICE CHAIRMAN MCDONOUGH,VICE CHAIRMAN MCDONOUGH So move SPEAKER(?) Second,So move SPEAKER(?) Second,19951219
4,CHAIRMAN GREENSPAN,CHAIRMAN GREENSPAN Without objection We need acceptance of the Report of Examination of the System Open Market Account It has been distributed Any questions? If not would somebody like to move it?FisherSEVERAL So move,Without objection We need acceptance of the Report of Examination of the System Open Market Account It has been distributed Any questions? If not would somebody like to move it?FisherSEVERAL So move,19951219
5,CHAIRMAN GREENSPAN,CHAIRMAN GREENSPAN Without objection I now call on Peter,Without objection I now call on Peter,19951219
6,MR FISHER,MR FISHER Thank you Mr Chairman I would like to beginwith the Mexican swap renewal before turning to the market reports All of this is summarized on the one-page outline of my report that you have before you [Statement--see Appendix],Thank you Mr Chairman I would like to beginwith the Mexican swap renewal before turning to the market reports All of this is summarized on the one-page outline of my report that you have before you [Statement--see Appendix],19951219
7,CHAIRMAN GREENSPAN,CHAIRMAN GREENSPAN Questions? Yes Larry,Questions? Yes Larry,19951219
8,MR LINDSEY,MR LINDSEY Peter would you refresh my memory as to why we increased the Mexican swap line from $1-1/2 to $3 billion last February 1?,Peter would you refresh my memory as to why we increased the Mexican swap line from $1-1/2 to $3 billion last February 1?,19951219
9,MR FISHER,MR FISHER That was part of the package,That was part of the package,19951219
10,MR TRUMAN,"MR TRUMAN Remember there was a first phase whereby the Committee initially activated the existing $3 billion Then at the end of December 1994 there was an effort to deal with this problem in what I sometimes call the ""old fashiored"" way by getting banks together and so on The Committee approved a ""temporary"" swap line of$15 billion in conjunction with the arrangement that included $5 billion provided by the bis Then the Committee went up to the $3 billion temporary line in the context of the President's second programprogram?","Remember there was a first phase whereby the Committee initially activated the existing $3 billion Then at the end of December 1994 there was an effort to deal with this problem in what I sometimes call the ""old fashiored"" way by getting banks together and so on The Committee approved a ""temporary"" swap line of$15 billion in conjunction with the arrangement that included $5 billion provided by the bis Then the Committee went up to the $3 billion temporary line in the context of the President's second programprogram?",19951219
11,MR LINDSEY,MR LINDSEY But we are now getting out of the second,But we are now getting out of the second,19951219
12,MR TRUMAN,MR TRUMAN Right,Right,19951219
13,MR LINDSEY,MR LINDSEY So why are we not taking our level ofcommitment back down to $1-1/2 billion?,So why are we not taking our level ofcommitment back down to $1-1/2 billion?,19951219
14,MR TRUMAN,MR TRUMAN The original $3 billion was associated with the regular program,The original $3 billion was associated with the regular program,19951219
15,MR FISHER,MR FISHER There are two $3 billion swap arrangements; think of it that way There is the basic $3 billion which was what we already had in place Then we added a supplemental one last December of $15 billion which was increased to $3 billion on February 1 It's just a coincidence that it was $3 billion Now we are letting that whole supplemental arrangement expire and we are going back to the original regular $3 billion,There are two $3 billion swap arrangements; think of it that way There is the basic $3 billion which was what we already had in place Then we added a supplemental one last December of $15 billion which was increased to $3 billion on February 1 It's just a coincidence that it was $3 billion Now we are letting that whole supplemental arrangement expire and we are going back to the original regular $3 billion,19951219
16,MR TRUMAN,MR TRUMAN The other part of the confusion is that the Treasury also has a $3 billion swap line with the Mexicans,The other part of the confusion is that the Treasury also has a $3 billion swap line with the Mexicans,19951219
17,MR FISHER,MR FISHER There are lots of threes ,There are lots of threes,19951219
18,MR TRUMAN,MR TRUMAN Too many threes around here,Too many threes around here,19951219
19,CHAIRMAN GREENSPAN,CHAIRMAN GREENSPAN Further questions for Peter? Cathy,Further questions for Peter? Cathy,19951219
20,MS MINEHAN,MS MINEHAN Just a couple of factual questions: The $650 million is from the regular swap line or from the temporary one that was part of the program to help Mexico last year?,Just a couple of factual questions: The $650 million is from the regular swap line or from the temporary one that was part of the program to help Mexico last year?,19951219
21,MR FISHER,MR FISHER It's drawn under the regular swap line They never drew enough to get into the supplemental or temporary $3 billion,It's drawn under the regular swap line They never drew enough to get into the supplemental or temporary $3 billion,19951219
22,MS MINEHAN,MS MINEHAN Is it a function of our regular swap program that we are repaid by the Department of the Treasury?,Is it a function of our regular swap program that we are repaid by the Department of the Treasury?,19951219
23,MR TRUMAN,MR TRUMAN One of the conditions for the Committee's approval of the Mexican drawings was that we would be repaid either way--that is by the Mexicans or by the us Treasury,One of the conditions for the Committee's approval of the Mexican drawings was that we would be repaid either way--that is by the Mexicans or by the us Treasury,19951219
24,MS MINEHAN,MS MINEHAN The Treasury would repay us if necessary under either program on any part of the $6 billion?,The Treasury would repay us if necessary under either program on any part of the $6 billion?,19951219
25,MR TRUMAN,MR TRUMAN I think it was just an accounting convenience that we assigned these drawings to their regular swap line We could have done it the other way around; it might have been somewhat more logical,I think it was just an accounting convenience that we assigned these drawings to their regular swap line We could have done it the other way around; it might have been somewhat more logical,19951219
26,MS MINEHAN,MS MINEHAN I just wanted to understand that Secondly the North American Framework Agreement (NAFA) was to provide a forum according to footnote 2 in your memo for more regular consultations on economic and financial developments Has that worked?,I just wanted to understand that Secondly the North American Framework Agreement (NAFA) was to provide a forum according to footnote 2 in your memo for more regular consultations on economic and financial developments Has that worked?,19951219
27,MR TRUMAN,MR TRUMAN My view is that it has worked though maybe not as well as it should have In particular there have been stepped up consultations at all levels among all three countries some bilateral and some trilateral I think in fact one of the most useful things that was done--the only thing I think we did right--was that Peter arranged to have a weekly conference call with the Canadians and the Mexicans which allows us to do a once-a-week update of economic and financial conditions in the three countries That regular weekly call has meant that it is therefore much easier to have ad hoc contactsSo that is one element that has come out of this process,My view is that it has worked though maybe not as well as it should have In particular there have been stepped up consultations at all levels among all three countries some bilateral and some trilateral I think in fact one of the most useful things that was done--the only thing I think we did right--was that Peter arranged to have a weekly conference call with the Canadians and the Mexicans which allows us to do a once-a-week update of economic and financial conditions in the three countries That regular weekly call has meant that it is therefore much easier to have ad hoc contactsSo that is one element that has come out of this process,19951219
28,MS MINEHAN,MS MINEHAN Combining that with the additional transparency that the imf obtained from the Mexicans in terms of some of their data reporting do we feel that we would not have been in the situation that we seemed to be in earlier in terms of our knowledge of how much their reserves were being depleted?,Combining that with the additional transparency that the imf obtained from the Mexicans in terms of some of their data reporting do we feel that we would not have been in the situation that we seemed to be in earlier in terms of our knowledge of how much their reserves were being depleted?,19951219
