,Speaker,transcript_text,clean_transcript_text,date
0,CHAIRMAN GREENSPAN,CHAIRMAN GREENSPAN Good morning everyone We ought to congratulate Governor Lindsey who has just returned without mishap from Rumania with an addition to his family,Good morning everyone We ought to congratulate Governor Lindsey who has just returned without mishap from Rumania with an addition to his family,19941115
1,MR LINDSEY,MR LINDSEY Yes!,Yes!,19941115
2,MS MINEHAN,MS MINEHAN Congratulations [Applause] ,Congratulations [Applause],19941115
3,CHAIRMAN GREENSPAN,CHAIRMAN GREENSPAN What do you have a girl? ,What do you have a girl?,19941115
4,MS MINEHAN,MS MINEHAN A girl?,A girl?,19941115
5,MR LINDSEY,MR LINDSEY A one-year old girl ,A one-year old girl,19941115
6,MS MINEHAN,MS MINEHAN How nice,How nice,19941115
7,CHAIRMAN GREENSPAN,CHAIRMAN GREENSPAN What I have been trying to tell Larry was that he had better learn Rumanian pretty quickly because when she learns to talk if he does not understand Rumanian he is in trouble!SPEAKER(?) He's in trouble anyway! [Laughter],What I have been trying to tell Larry was that he had better learn Rumanian pretty quickly because when she learns to talk if he does not understand Rumanian he is in trouble!SPEAKER(?) He's in trouble anyway! [Laughter],19941115
8,MR LINDSEY,MR LINDSEY For now it is either feed me or change me; that won't always be so,For now it is either feed me or change me; that won't always be so,19941115
9,CHAIRMAN GREENSPAN,CHAIRMAN GREENSPAN I think we'll allow you to move approval of the minutes for the September 27th meeting,I think we'll allow you to move approval of the minutes for the September 27th meeting,19941115
10,MR LINDSEY,MR LINDSEY So move,So move,19941115
11,CHAIRMAN GREENSPAN,CHAIRMAN GREENSPAN Without objection You all have before you the Report of Examination of the System Open Market Account that was distributed on November 3rd Are there any questions relating to that? If not would somebody like to move its acceptance?SPEAKER(?) So move SPEAKER(?) Second,Without objection You all have before you the Report of Examination of the System Open Market Account that was distributed on November 3rd Are there any questions relating to that? If not would somebody like to move its acceptance?SPEAKER(?) So move SPEAKER(?) Second,19941115
12,CHAIRMAN GREENSPAN,CHAIRMAN GREENSPAN Without objection After we complete our general monetary policy discussion I am going to raise some broad issues about our recent intervention in the foreign exchange markets I will also comment about the alleged increase in central bank participation in the G-7 process So after Peter discusses his operations let's hold off discussion of the broader questions with respect to intervention until later in the meeting We will have more time then for a general discussion With that in mind let me call on Peter Fisher to report on foreign currency operations,Without objection After we complete our general monetary policy discussion I am going to raise some broad issues about our recent intervention in the foreign exchange markets I will also comment about the alleged increase in central bank participation in the G-7 process So after Peter discusses his operations let's hold off discussion of the broader questions with respect to intervention until later in the meeting We will have more time then for a general discussion With that in mind let me call on Peter Fisher to report on foreign currency operations,19941115
13,MR FISHER,MR FISHER [Statement--See Appendix] Mr Chairman I wasn't quite sure how you wanted to proceed I could take questions on the report or I could go on and ask for ratification of the operations and renewal of the swap lines Should I just go on with each of those?,[Statement--See Appendix] Mr Chairman I wasn't quite sure how you wanted to proceed I could take questions on the report or I could go on and ask for ratification of the operations and renewal of the swap lines Should I just go on with each of those?,19941115
14,CHAIRMAN GREENSPAN,CHAIRMAN GREENSPAN Why don't you do that? We will then have general questions on all issues but leave the intervention discussion until later,Why don't you do that? We will then have general questions on all issues but leave the intervention discussion until later,19941115
15,MR FISHER,MR FISHER I will need the Committee's ratification of our operations on Wednesday November 2; we sold $400 million equivalent of Japanese yen and $400 million equivalent of German marks for the System's Account On November 3 we sold $250 million of yen and $250 million of marks for the System's Account Thus over the period we sold $650 million equivalent of each of the two currencies for the System AccountMr Chairman the System's reciprocal currency arrangements are up for renewal for another year with the exception of our Mexican and Canadian arrangements I have no changes to suggest in the terms and conditions of the existing swap arrangements and request that the Committee approve their renewal without change,I will need the Committee's ratification of our operations on Wednesday November 2; we sold $400 million equivalent of Japanese yen and $400 million equivalent of German marks for the System's Account On November 3 we sold $250 million of yen and $250 million of marks for the System's Account Thus over the period we sold $650 million equivalent of each of the two currencies for the System AccountMr Chairman the System's reciprocal currency arrangements are up for renewal for another year with the exception of our Mexican and Canadian arrangements I have no changes to suggest in the terms and conditions of the existing swap arrangements and request that the Committee approve their renewal without change,19941115
16,CHAIRMAN GREENSPAN,CHAIRMAN GREENSPANto voting until we have had delay the vote If anybody just postpone the voteLet me just say this If anyone objects our discussion on intervention we can wants to object object now and we will,voting until we have had delay the vote If anybody just postpone the voteLet me just say this If anyone objects our discussion on intervention we can wants to object object now and we will,19941115
17,MR BROADDUS,MR BROADDUS I would appreciate it if the swap vote could be delayed until later,I would appreciate it if the swap vote could be delayed until later,19941115
18,CHAIRMAN GREENSPAN,CHAIRMAN GREENSPAN That's fine In fact there is a certain symmetry in doing that So why don't we leave that vote until later?I was a little curious myself as to why the dollar was as strong as it was yesterday You implied that the reason was because the foreign exchange market expected us to move today But last week and two weeks ago they expected us to move today What is the explanation?,That's fine In fact there is a certain symmetry in doing that So why don't we leave that vote until later?I was a little curious myself as to why the dollar was as strong as it was yesterday You implied that the reason was because the foreign exchange market expected us to move today But last week and two weeks ago they expected us to move today What is the explanation?,19941115
19,MR FISHER,MR FISHER I admit it is rather hard to fathom I think it is this combination of foreign demand surprising the dealer community which has for some time now been playing the dollar from the short side I think the two factors continue to operate together The surprising election result last Wednesday produced precisely that sequence that is the resulting foreign demand for the dollar surprised the us dealer community a bit and the dealers rushed to cover shorts Monday morning the same thing seemed to be occurring again The dealers saw a slightly surprising level of foreign interest in the dollar and the dealer community once again tried to play catch-up with their customers as best I have been able to understand There was a rather quick mark-up yesterday If you look at the charts it really happened rather quickly I have not been able to ascertain what in particular was happening at that time,I admit it is rather hard to fathom I think it is this combination of foreign demand surprising the dealer community which has for some time now been playing the dollar from the short side I think the two factors continue to operate together The surprising election result last Wednesday produced precisely that sequence that is the resulting foreign demand for the dollar surprised the us dealer community a bit and the dealers rushed to cover shorts Monday morning the same thing seemed to be occurring again The dealers saw a slightly surprising level of foreign interest in the dollar and the dealer community once again tried to play catch-up with their customers as best I have been able to understand There was a rather quick mark-up yesterday If you look at the charts it really happened rather quickly I have not been able to ascertain what in particular was happening at that time,19941115
20,CHAIRMAN GREENSPAN,CHAIRMAN GREENSPAN Peter you indicated that you inferred from the market that we are behind the curve in three areas and that we are in striking distance of reaching at least one or more of those curves Is there any view within the foreign exchange market that puts federal funds numbers on that?,Peter you indicated that you inferred from the market that we are behind the curve in three areas and that we are in striking distance of reaching at least one or more of those curves Is there any view within the foreign exchange market that puts federal funds numbers on that?,19941115
